address,beds,baths,price
"9819 15th Ave NE,",2,2,"$699,000"
"1400 N 80th St,",27,30,"$11,995,000"
"8018 24th Ave NW Unit B,",2,2,"$749,000"
"116 17th Ave Unit D,",2,1,"$550,000"
"154 35th Ave E,",4,2.5,"$1,850,000"
"8018 24th Ave NW,",4,2.5,"$1,149,000"
"10915 Glen Acres Dr S Unit 21A,",2,2,"$270,000"
"430 10th Ave E,",3,2.5,"$999,000"
"921 W McGraw St #34,",3,3.5,"$1,525,000"
"9819 15th Ave NE,",2,2,"$699,000"
"3008 NW 85th St,",3,2.5,"$800,000"
"2721 1st Ave #906,",1,1,"$495,000"
